"","x"
"143","ign:puntos_de_geomorfologia_CA030"
"144","ign:lineas_de_geomorfologia_DB200"
"145","ign:ramsac_ntrip"
"146","ign:ramsac"
"147","ign:nivelacion_topografica"
"148","ign:nivelacion_alta_precision"
"149","ign:nivelacion_precision"
"150","ign:red_densificacion_posgar"
"151","ign:red_pasma"
"152","ign:red_posgar"
"153","ign:red_provincial"
"154","ign:gravimetria_bacara"
"155","ign:gravimetria_igsn71"
"156","ign:gravimetria_raga"
"157","ign:gravimetria_rpo"
"158","ign:gravimetria_rso"
"159","ign:gravimetria_rto"
"160","ign:vial_nacional"
"161","ign:vial_provincial"
"162","ign:vial_terciaria"
"163","ign:puntos_de_equipamiento_AH030"
"164","ign:areas_de_gestion_de_residuos_relleno_sanitario"
"165","ign:puntos_de_obstrucciones_BD130"
"166","ign:lineas_de_puertos_y_muelles_BB041"
"167","ign:puntos_de_puertos_y_muelles_BB041"
"168","ign:puntos_de_asentamientos_y_edificios_ruina"
"169","ign:edafologia_salina"
"170","ign:edafologia_sedimento_fluvial"
"171","ign:vial_AP050"
"172","ign:lineas_de_geomorfologia_050204"
"173","ign:puntos_de_asentamientos_y_edificios_AL201"
"174","ign:sublocalidad_entidad_bahra"
"175","ign:puntos_de_almacenamiento_y_logistica_AM080"
"176","ign:puntos_de_almacenamiento_y_logistica_AM070"
"177","ign:puntos_de_asentamientos_y_edificios_020108"
"178","ign:terreno_para_cultivo_EA010"
"179","ign:puntos_de_comunicacion_AT080"
"180","ign:lineas_terrestres_070402"
"181","ign:puntos_de_cruces_y_enlaces_AQ130"
"182","ign:puntos_de_ciencia_y_educacion_020602"
"183","ign:puntos_de_cruces_y_enlaces_BH070"
"184","ign:lineas_de_geomorfologia_CA025"
"185","ign:areas_de_gestion_de_residuos_AB000"
"186","ign:areas_de_extraccion_AA052"
"187","ign:zona_contigua_argentina"
"188","ign:zona_economica_exclusiva_argentina"
"189","ign:zona_de_frontera"
"190","ign:areas_de_estructura_asociada_010601"
"191","ign:area_de_desarrollo_de_fronteras"
"192","ign:areas_de_fabricacion_y_procesamiento_AC070"
"193","ign:area_de_montana"
"194","ign:area_vuelos_dsr_sig"
"195","ign:area_vuelos_vant_sig"
"196","ign:area_protegida"
